key,role,path,rune_id,wins,matches
103,5,1,8429,145,313
103,5,2,8429,722,1513
103,5,1,8444,171,392
103,5,2,8444,2402,4922
103,5,1,8473,217,513
103,5,2,8473,7569,15077
103,5,1,8451,316,730
103,5,2,8451,5114,10127
103,5,1,8453,108,256
103,5,2,8453,1526,3220
103,5,1,8242,109,232
103,5,2,8242,2492,5014
103,5,1,8351,1219,2645
103,5,1,8360,6978,13929
103,5,1,8369,16284,31742
103,5,1,8306,66,159
103,5,2,8306,116,230
103,5,1,8304,13109,25653
103,5,2,8304,17412,34686
103,5,1,8313,11297,22504
103,5,2,8313,17699,36268
103,5,1,8321,2498,4879
103,5,2,8321,7125,14540
103,5,1,8316,12716,25181
103,5,2,8316,47215,96160
103,5,1,8345,9256,18256
103,5,2,8345,220230,459771
103,5,1,8347,21266,41944
103,5,2,8347,82347,167372
103,5,1,8410,478,996
103,5,2,8410,1621,3493
103,5,1,8352,2720,5376
103,5,2,8352,179180,377222
103,5,1,5008,170801,348574
103,5,1,5005,634657,1297868
103,5,1,5007,30070,61872
103,5,1,5008f,812778,1662123
103,5,1,5002f,11749,24477
103,5,1,5003f,10683,21714
103,5,1,5001,64334,132374
103,5,1,5002,263643,538046
103,5,1,5003,507530,1037894
103,3,1,8005,86,238
103,3,1,8008,387,902
103,3,1,8021,16,48
103,3,1,8010,26,53
103,3,1,9101,7,18
103,3,2,9101,3,7
103,3,1,9111,373,909
103,3,2,9111,118,292
103,3,1,8009,135,314
103,3,2,8009,160,351
103,3,1,9104,439,1051
103,3,2,9104,26,50
103,3,1,9105,21,40
103,3,2,9105,9,24
103,3,1,9103,55,150
103,3,2,9103,5,19
103,3,1,8014,271,692
103,3,2,8014,234,536
103,3,1,8017,187,427
103,3,2,8017,23,54
103,3,1,8299,57,122
103,3,2,8299,6,17
103,3,1,8112,2888,6763
103,3,1,8124,4,8
103,3,1,8128,138,308
103,3,1,9923,26,55
103,3,1,8126,659,1443
103,3,2,8126,78,192
103,3,1,8139,1925,4573
103,3,2,8139,320,738
103,3,1,8143,471,1118
103,3,2,8143,42,115
103,3,1,8136,148,342
103,3,2,8136,3,9
103,3,1,8120,53,133
103,3,2,8120,3,11
103,3,1,8138,2850,6659
103,3,2,8138,197,478
103,3,1,8135,396,926
103,3,2,8135,77,195
103,3,1,8134,49,113
103,3,2,8134,3,15
103,3,1,8105,117,263
103,3,2,8105,110,257
103,3,1,8106,2490,5832
103,3,2,8106,329,742
103,3,1,8214,58,137
103,3,1,8229,309,717
103,3,1,8230,17,40
103,3,1,8224,22,52
103,3,2,8224,38,83
103,3,1,8226,343,803
103,3,2,8226,1595,3780
103,3,1,8275,19,39
103,3,2,8275,46,94
103,3,1,8210,283,670
103,3,2,8210,1395,3267
103,3,1,8234,26,62
103,3,2,8234,74,160
103,3,1,8233,75,162
103,3,2,8233,206,461
103,3,1,8237,162,369
103,3,2,8237,406,925
103,3,1,8232,4,15
103,3,2,8232,16,46
103,3,1,8236,218,510
103,3,2,8236,558,1262
103,3,1,8437,4,12
103,3,1,8439,1,3
103,3,1,8465,2,5
103,3,1,8446,5,12
103,3,2,8446,8,21
103,3,1,8463,1,5
103,3,2,8463,2,5
